t,kind,detail
0.05,explore_status,exploration_started
30.09,goal_succeeded,450b2e5f
30.21,frontiers,avail=13 black=0
30.21,goal_accepted,b737adf5
89.16,goal_succeeded,b737adf5
89.21,frontiers,avail=15 black=0
89.21,goal_accepted,d2fbe3cc
147.46,goal_succeeded,d2fbe3cc
147.71,frontiers,avail=13 black=0
147.71,goal_accepted,2394f6b2
262.81,goal_succeeded,2394f6b2
263.22,frontiers,avail=18 black=0
263.22,goal_accepted,22d689f8
300.72,goal_succeeded,22d689f8
301.22,frontiers,avail=14 black=0
301.22,goal_accepted,2c7eba87
420.79,goal_aborted,2c7eba87
426.25,frontiers,avail=11 black=0
426.25,goal_accepted,74af82a6
433.32,goal_aborted,74af82a6
438.77,frontiers,avail=10 black=0
438.77,goal_accepted,a8ce3343
466.10,goal_aborted,a8ce3343
471.28,frontiers,avail=7 black=0
471.28,goal_accepted,227166be
476.41,goal_aborted,227166be
481.78,frontiers,avail=7 black=0
481.78,goal_accepted,69e80997
517.28,goal_aborted,69e80997
522.30,frontiers,avail=7 black=0
522.30,goal_accepted,5c8c3db4
526.10,goal_aborted,5c8c3db4
531.30,frontiers,avail=7 black=0
531.30,goal_accepted,9190937c
542.16,goal_aborted,9190937c
547.32,frontiers,avail=8 black=0
547.33,goal_accepted,633aff57
553.13,goal_aborted,633aff57
558.35,frontiers,avail=8 black=0
558.36,goal_accepted,093d87c0
579.66,goal_aborted,093d87c0
584.90,frontiers,avail=8 black=0
584.90,goal_accepted,063354fe
630.66,goal_aborted,063354fe
635.93,frontiers,avail=8 black=0
635.94,goal_accepted,de2c6f4a
639.87,goal_aborted,de2c6f4a
644.94,frontiers,avail=8 black=0
644.94,goal_accepted,c5b150fb
651.07,goal_aborted,c5b150fb
656.45,frontiers,avail=8 black=0
656.45,goal_accepted,c16930dd
657.35,goal_aborted,c16930dd
662.45,frontiers,avail=8 black=0
662.45,goal_accepted,bd3a5208
664.29,goal_aborted,bd3a5208
669.45,frontiers,avail=8 black=0
669.45,goal_accepted,df14f78d
765.90,goal_aborted,df14f78d
770.97,frontiers,avail=8 black=0
770.97,goal_accepted,a2938859
796.32,goal_aborted,a2938859
801.47,frontiers,avail=5 black=0
801.47,goal_accepted,46beab02
856.35,goal_aborted,46beab02
861.47,frontiers,avail=2 black=0
861.47,goal_accepted,ed6e6296
890.78,goal_aborted,ed6e6296
895.98,frontiers,avail=0 black=0
895.98,explore_status,exploration_complete
896.48,frontiers,avail=0 black=0
896.48,explore_status,exploration_complete
896.98,frontiers,avail=0 black=0
896.98,explore_status,exploration_complete
897.48,frontiers,avail=0 black=0
897.48,explore_status,exploration_complete
897.98,frontiers,avail=0 black=0
897.98,explore_status,exploration_complete
898.48,frontiers,avail=0 black=0
898.48,explore_status,exploration_complete
898.98,frontiers,avail=0 black=0
898.98,explore_status,exploration_complete
899.48,frontiers,avail=0 black=0
899.48,explore_status,exploration_complete
899.98,frontiers,avail=0 black=0
899.98,explore_status,exploration_complete
900.48,frontiers,avail=0 black=0
900.48,explore_status,exploration_complete
900.98,frontiers,avail=0 black=0
900.98,explore_status,exploration_complete
901.48,frontiers,avail=0 black=0
901.48,explore_status,exploration_complete
901.98,frontiers,avail=0 black=0
901.98,explore_status,exploration_complete
902.48,frontiers,avail=0 black=0
902.48,explore_status,exploration_complete
902.98,frontiers,avail=0 black=0
902.98,explore_status,exploration_complete
903.48,frontiers,avail=0 black=0
903.48,explore_status,exploration_complete
