t,kind,detail
0.07,explore_status,exploration_started
55.94,goal_succeeded,2cd3afd0
55.94,goal_succeeded,a5ab8e8c
56.09,frontiers,avail=16 black=0
56.09,goal_accepted,e74ec9e5
112.85,goal_succeeded,e74ec9e5
113.09,frontiers,avail=26 black=0
113.09,goal_accepted,f41be5bc
179.24,goal_succeeded,f41be5bc
179.59,frontiers,avail=23 black=0
179.59,goal_accepted,b9321249
258.05,goal_succeeded,b9321249
258.09,frontiers,avail=16 black=0
258.09,goal_accepted,e1fe7be3
490.15,goal_canceled,e1fe7be3
490.61,frontiers,avail=8 black=0
490.61,goal_accepted,3f1bdeb2
507.67,goal_aborted,3f1bdeb2
513.11,frontiers,avail=8 black=0
513.11,goal_accepted,ba55f47a
514.16,goal_aborted,ba55f47a
519.61,frontiers,avail=8 black=0
519.61,goal_accepted,f2841ff4
527.75,goal_aborted,f2841ff4
533.11,frontiers,avail=8 black=0
533.11,goal_accepted,92bea711
554.59,goal_aborted,92bea711
559.61,frontiers,avail=10 black=0
559.61,goal_accepted,623434e0
572.85,goal_aborted,623434e0
578.11,frontiers,avail=10 black=0
578.11,goal_accepted,4f8095ce
586.15,goal_aborted,4f8095ce
591.61,frontiers,avail=10 black=0
591.61,goal_accepted,286cc36f
613.86,goal_aborted,286cc36f
619.11,frontiers,avail=10 black=0
619.11,goal_accepted,83bb0f33
622.21,goal_aborted,83bb0f33
627.61,frontiers,avail=10 black=0
627.61,goal_accepted,4cf35591
732.97,goal_succeeded,4cf35591
733.11,frontiers,avail=6 black=0
733.11,goal_accepted,57e34688
742.20,goal_aborted,57e34688
747.61,frontiers,avail=6 black=0
747.61,goal_accepted,0fa6e6aa
773.88,goal_aborted,0fa6e6aa
779.12,frontiers,avail=6 black=0
779.12,goal_accepted,9680b988
818.82,goal_aborted,9680b988
824.12,frontiers,avail=6 black=0
824.12,goal_accepted,f8814f6a
833.10,goal_aborted,f8814f6a
838.12,frontiers,avail=6 black=0
838.12,goal_accepted,7147b409
867.67,goal_aborted,7147b409
873.12,frontiers,avail=6 black=0
873.13,goal_accepted,3608c658
908.65,goal_aborted,3608c658
914.12,frontiers,avail=6 black=0
914.13,goal_accepted,9e0f2c09
1003.15,goal_aborted,9e0f2c09
1008.62,frontiers,avail=5 black=0
1008.63,goal_accepted,0a2e9241
1098.77,goal_aborted,0a2e9241
1104.13,frontiers,avail=5 black=0
1104.13,goal_accepted,500ad9e9
1125.36,goal_aborted,500ad9e9
1130.63,frontiers,avail=5 black=0
1130.63,goal_accepted,58b635f6
1148.06,goal_aborted,58b635f6
1153.13,frontiers,avail=5 black=0
1153.13,goal_accepted,43a6efa6
1162.30,goal_aborted,43a6efa6
1167.63,frontiers,avail=5 black=0
1167.63,goal_accepted,9b66341a
1174.84,goal_aborted,9b66341a
1180.13,frontiers,avail=5 black=0
1180.13,goal_accepted,b4ac3dc6
1222.13,goal_aborted,b4ac3dc6
1227.63,frontiers,avail=5 black=0
1227.63,goal_accepted,fc778a54
1229.59,goal_aborted,fc778a54
1234.64,frontiers,avail=5 black=0
1234.64,goal_accepted,04f93401
1238.45,goal_aborted,04f93401
1243.64,frontiers,avail=4 black=0
1243.64,goal_accepted,ae6b57c1
1293.85,goal_aborted,ae6b57c1
1299.14,frontiers,avail=3 black=0
1299.14,goal_accepted,a5b68117
1316.17,goal_aborted,a5b68117
1321.64,frontiers,avail=3 black=0
1321.64,goal_accepted,533d920b
1337.79,goal_aborted,533d920b
1343.14,frontiers,avail=2 black=0
1343.14,explore_status,exploration_complete
1343.64,frontiers,avail=2 black=0
1343.64,explore_status,exploration_complete
1344.14,frontiers,avail=2 black=0
1344.14,explore_status,exploration_complete
1344.64,frontiers,avail=2 black=0
1344.64,explore_status,exploration_complete
1345.14,frontiers,avail=2 black=0
1345.14,explore_status,exploration_complete
1345.64,frontiers,avail=2 black=0
1345.64,explore_status,exploration_complete
1346.14,frontiers,avail=2 black=0
1346.14,explore_status,exploration_complete
1346.64,frontiers,avail=2 black=0
1346.64,explore_status,exploration_complete
1347.14,frontiers,avail=2 black=0
1347.14,explore_status,exploration_complete
1347.64,frontiers,avail=2 black=0
1347.64,explore_status,exploration_complete
1348.14,frontiers,avail=2 black=0
1348.14,explore_status,exploration_complete
1348.64,frontiers,avail=2 black=0
1348.64,explore_status,exploration_complete
1349.14,frontiers,avail=2 black=0
1349.14,explore_status,exploration_complete
1349.64,frontiers,avail=2 black=0
1349.64,explore_status,exploration_complete
1350.14,frontiers,avail=2 black=0
1350.14,explore_status,exploration_complete
1350.64,frontiers,avail=2 black=0
1350.64,explore_status,exploration_complete
1351.14,frontiers,avail=2 black=0
1351.14,explore_status,exploration_complete
1351.64,frontiers,avail=2 black=0
1351.64,explore_status,exploration_complete
1352.14,frontiers,avail=2 black=0
1352.14,explore_status,exploration_complete
1352.64,frontiers,avail=2 black=0
1352.64,explore_status,exploration_complete
1353.14,frontiers,avail=2 black=0
1353.14,explore_status,exploration_complete
1353.64,frontiers,avail=2 black=0
1353.64,explore_status,exploration_complete
1354.14,frontiers,avail=2 black=0
1354.14,explore_status,exploration_complete
1354.64,frontiers,avail=2 black=0
1354.64,explore_status,exploration_complete
1355.14,frontiers,avail=2 black=0
1355.14,explore_status,exploration_complete
1355.64,frontiers,avail=2 black=0
1355.64,explore_status,exploration_complete
1356.14,frontiers,avail=2 black=0
1356.14,explore_status,exploration_complete
1356.64,frontiers,avail=2 black=0
1356.64,explore_status,exploration_complete
1357.14,frontiers,avail=2 black=0
1357.14,explore_status,exploration_complete
1357.64,frontiers,avail=2 black=0
1357.64,explore_status,exploration_complete
1358.14,frontiers,avail=2 black=0
1358.14,explore_status,exploration_complete
1358.64,frontiers,avail=2 black=0
1358.64,explore_status,exploration_complete
1359.14,frontiers,avail=2 black=0
1359.14,explore_status,exploration_complete
1359.64,frontiers,avail=2 black=0
1359.64,explore_status,exploration_complete
1360.14,frontiers,avail=2 black=0
1360.14,explore_status,exploration_complete
1360.64,frontiers,avail=2 black=0
1360.64,explore_status,exploration_complete
1361.14,frontiers,avail=2 black=0
1361.14,explore_status,exploration_complete
1361.64,frontiers,avail=2 black=0
1361.64,explore_status,exploration_complete
1362.14,frontiers,avail=2 black=0
1362.14,explore_status,exploration_complete
1362.64,frontiers,avail=2 black=0
1362.64,explore_status,exploration_complete
1363.14,frontiers,avail=2 black=0
1363.14,explore_status,exploration_complete
1363.64,frontiers,avail=2 black=0
1363.64,explore_status,exploration_complete
1364.14,frontiers,avail=2 black=0
1364.14,explore_status,exploration_complete
1364.64,frontiers,avail=2 black=0
1364.64,explore_status,exploration_complete
1365.14,frontiers,avail=2 black=0
1365.14,explore_status,exploration_complete
1365.64,frontiers,avail=2 black=0
1365.64,explore_status,exploration_complete
1366.14,frontiers,avail=2 black=0
1366.14,explore_status,exploration_complete
1366.64,frontiers,avail=2 black=0
1366.64,explore_status,exploration_complete
1367.14,frontiers,avail=2 black=0
1367.14,explore_status,exploration_complete
1367.64,frontiers,avail=2 black=0
1367.64,explore_status,exploration_complete
1368.14,frontiers,avail=2 black=0
1368.14,explore_status,exploration_complete
1368.64,frontiers,avail=2 black=0
1368.64,explore_status,exploration_complete
1369.14,frontiers,avail=2 black=0
1369.14,explore_status,exploration_complete
1369.64,frontiers,avail=2 black=0
1369.64,explore_status,exploration_complete
1370.14,frontiers,avail=2 black=0
1370.14,explore_status,exploration_complete
1370.64,frontiers,avail=2 black=0
1370.64,explore_status,exploration_complete
1371.14,frontiers,avail=2 black=0
1371.14,explore_status,exploration_complete
1371.64,frontiers,avail=2 black=0
1371.64,explore_status,exploration_complete
1372.14,frontiers,avail=2 black=0
1372.14,explore_status,exploration_complete
1372.64,frontiers,avail=2 black=0
1372.64,explore_status,exploration_complete
1373.14,frontiers,avail=2 black=0
1373.14,explore_status,exploration_complete
1373.64,frontiers,avail=2 black=0
1373.64,explore_status,exploration_complete
1374.14,frontiers,avail=2 black=0
1374.14,explore_status,exploration_complete
1374.64,frontiers,avail=2 black=0
1374.64,explore_status,exploration_complete
1375.14,frontiers,avail=2 black=0
1375.14,explore_status,exploration_complete
1375.64,frontiers,avail=2 black=0
1375.64,explore_status,exploration_complete
1376.14,frontiers,avail=2 black=0
1376.14,explore_status,exploration_complete
1376.64,frontiers,avail=2 black=0
1376.64,explore_status,exploration_complete
1377.14,frontiers,avail=2 black=0
1377.14,explore_status,exploration_complete
1377.64,frontiers,avail=2 black=0
1377.64,explore_status,exploration_complete
1378.14,frontiers,avail=2 black=0
1378.14,explore_status,exploration_complete
1378.64,frontiers,avail=2 black=0
1378.64,explore_status,exploration_complete
1379.14,frontiers,avail=2 black=0
1379.14,explore_status,exploration_complete
1379.64,frontiers,avail=2 black=0
1379.64,explore_status,exploration_complete
1380.14,frontiers,avail=2 black=0
1380.14,explore_status,exploration_complete
1380.64,frontiers,avail=2 black=0
1380.64,explore_status,exploration_complete
1381.14,frontiers,avail=2 black=0
1381.14,explore_status,exploration_complete
1381.64,frontiers,avail=2 black=0
1381.64,explore_status,exploration_complete
1382.14,frontiers,avail=2 black=0
1382.14,explore_status,exploration_complete
1382.64,frontiers,avail=2 black=0
1382.64,explore_status,exploration_complete
1383.14,frontiers,avail=2 black=0
1383.14,explore_status,exploration_complete
1383.64,frontiers,avail=2 black=0
1383.64,explore_status,exploration_complete
1384.14,frontiers,avail=2 black=0
1384.14,explore_status,exploration_complete
1384.64,frontiers,avail=2 black=0
1384.64,explore_status,exploration_complete
1385.14,frontiers,avail=2 black=0
1385.14,explore_status,exploration_complete
1385.64,frontiers,avail=2 black=0
1385.64,explore_status,exploration_complete
1386.14,frontiers,avail=2 black=0
1386.14,explore_status,exploration_complete
1386.64,frontiers,avail=2 black=0
1386.64,explore_status,exploration_complete
1387.14,frontiers,avail=2 black=0
1387.14,explore_status,exploration_complete
1387.64,frontiers,avail=2 black=0
1387.64,explore_status,exploration_complete
1388.14,frontiers,avail=2 black=0
1388.14,explore_status,exploration_complete
1388.64,frontiers,avail=2 black=0
1388.64,explore_status,exploration_complete
1389.14,frontiers,avail=2 black=0
1389.14,explore_status,exploration_complete
1389.64,frontiers,avail=2 black=0
1389.64,explore_status,exploration_complete
1390.14,frontiers,avail=2 black=0
1390.14,explore_status,exploration_complete
1390.64,frontiers,avail=2 black=0
1390.64,explore_status,exploration_complete
1391.14,frontiers,avail=2 black=0
1391.14,explore_status,exploration_complete
1391.64,frontiers,avail=2 black=0
1391.64,explore_status,exploration_complete
1392.14,frontiers,avail=2 black=0
1392.14,explore_status,exploration_complete
1392.64,frontiers,avail=2 black=0
1392.64,explore_status,exploration_complete
1393.14,frontiers,avail=2 black=0
1393.14,explore_status,exploration_complete
1393.64,frontiers,avail=2 black=0
1393.64,explore_status,exploration_complete
1394.14,frontiers,avail=2 black=0
1394.14,explore_status,exploration_complete
1394.64,frontiers,avail=2 black=0
1394.64,explore_status,exploration_complete
1395.14,frontiers,avail=2 black=0
1395.14,explore_status,exploration_complete
1395.64,frontiers,avail=2 black=0
1395.64,explore_status,exploration_complete
1396.14,frontiers,avail=2 black=0
1396.14,explore_status,exploration_complete
1396.64,frontiers,avail=2 black=0
1396.64,explore_status,exploration_complete
1397.14,frontiers,avail=2 black=0
1397.14,explore_status,exploration_complete
1397.64,frontiers,avail=2 black=0
1397.64,explore_status,exploration_complete
1398.14,frontiers,avail=2 black=0
1398.14,explore_status,exploration_complete
1398.64,frontiers,avail=2 black=0
1398.64,explore_status,exploration_complete
1399.14,frontiers,avail=2 black=0
1399.14,explore_status,exploration_complete
1399.64,frontiers,avail=2 black=0
1399.64,explore_status,exploration_complete
1400.14,frontiers,avail=2 black=0
1400.14,explore_status,exploration_complete
